smiles,result
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)cc1)c2=O,2.20
COc1cc(ccc1O)-c1coc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)ccc2c1=O,1.23
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)c(O)c1)c2=O,1.48
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)cc1)c2=O,3.24
COc1cc(ccc1O)-c1coc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)ccc2c1=O,1.35
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)c(O)c1)c2=O,2.43
O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)C(O)=O,494.42
OC1CC(O)(CC(O)C1OC(=O)\C=C\c1ccc(O)c(O)c1)C(O)=O,431.13
OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(cc3=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O,19092.57
OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(cc3=O)-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,1473.6352
Oc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)cc2o1,3088.95土
Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(O)c(O)c1,25094.35土2232.12
COc1ccc(C(C)=O)c(O)c1,644.00
COc1ccc(C(C)=O)c(O)c1,1654.22
COc1cc(\C=C\C(O)=O)ccc1O,29.013
CC(C)C(=C)CC[C@H]([C@H]1[C@H](O)C[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]1CC3)C(O)=O,1466.9±361.7
COC[C@@]12CC[C@H](OC)[C@@]34[C@@H]5C[C@@]6(O)[C@H](OC(=O)c7ccccc7)[C@@H]5[C@@](OC(C)=O)([C@@H]([C@H](OC)[C@H]13)C4N(C)C2)[C@@H](O)[C@@H]6OC,34.90
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)[C@H]([C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)C(O)=O)[C@@H]12)C(O)=O,2479
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)[C@H]([C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)C(O)=O)[C@@H]12)C(O)=O,3567
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)[C@@H]([C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)C(O)=O)[C@@H]12)C(O)=O,1482
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)[C@@H]([C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)C(O)=O)[C@@H]12)C(O)=O,6127
CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(=O)C(C)(C)C5CCC34C)C2C1(C)O)C(O)=O,1859
