smiles,result
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)cc1)c2=O,2.14
COc1cc(ccc1O)-c1coc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)ccc2c1=O,1.02
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)c(O)c1)c2=O,1.40
COc1cc(ccc1O)-c1coc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)ccc2c1=O,1.35
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)c(O)c1)c2=O,2.10
O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)C(O)=O,425.83土
OC1CC(O)(CC(O)C1OC(=O)\C=C\c1ccc(O)c(O)c1)C(O)=O,318.79
OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(cc3=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O,19064.87
OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(cc3=O)-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,1321.88
Oc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)cc2o1,2903.87
Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(O)c(O)c1,24237.94土2113.55
CCCC[C@@H]1OC(=O)C2=CCCC[C@@H]12,504.65
CCCC[C@@H]1OC(=O)C2=CCCC[C@@H]12,442.24
COc1ccc(C(C)=O)c(O)c1,539.78
COc1ccc(C(C)=O)c(O)c1,1332.76
COc1cc(\C=C\C(O)=O)ccc1O,16.925
COC[C@@]12CC[C@H](OC)[C@@]34[C@@H]5C[C@@]6(O)[C@H](OC(=O)c7ccccc7)[C@@H]5[C@@](OC(C)=O)([C@@H]([C@H](OC)[C@H]13)C4N(C)C2)[C@@H](O)[C@@H]6OC,33.72
Oc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)cc2o1,36.25
Oc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)cc2o1,54.39
Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(O)c(O)c1,3.971
Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(O)c(O)c1,5.862
COc1cc(ccc1O)-c1cc(=O)c2c(O)cc(O)cc2o1,1.468
COc1cc(ccc1O)-c1cc(=O)c2c(O)cc(O)cc2o1,1.017
COc1ccc(cc1O)-c1cc(=O)c2c(O)cc(O)cc2o1,2.869
COc1ccc(cc1O)-c1cc(=O)c2c(O)cc(O)cc2o1,2.329
OC[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@H]1O,6.560±0.628
OC[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@H]1O,9.429±0.363
OC[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@H]1O,9.603±0.102
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)[C@H]([C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)C(O)=O)[C@@H]12)C(O)=O,2474
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)[C@H]([C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)C(O)=O)[C@@H]12)C(O)=O,3431
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)[C@@H]([C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)C(O)=O)[C@@H]12)C(O)=O,1478
