smiles,result
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)cc1)c2=O,10.34
COc1cc(ccc1O)-c1coc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)ccc2c1=O,4.16
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)c(O)c1)c2=O,2.64
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)cc1)c2=O,19.71
COc1cc(ccc1O)-c1coc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)ccc2c1=O,6.86
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)c(O)c1)c2=O,4.79
COc1cc(\C=C\C(O)=O)ccc1O,0.905
CC(C)C(=C)CC[C@H]([C@H]1[C@H](O)C[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]1CC3)C(O)=O,6.82±1.73
COC[C@@]12CC[C@H](OC)[C@@]34[C@@H]5C[C@@]6(O)[C@H](OC(=O)c7ccccc7)[C@@H]5[C@@](OC(C)=O)([C@@H]([C@H](OC)[C@H]13)C4N(C)C2)[C@@H](O)[C@@H]6OC,5.842
Oc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)cc2o1,0.0876
Oc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)cc2o1,0.06940
Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(O)c(O)c1,1.515
Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(O)c(O)c1,0.818
COc1cc(ccc1O)-c1cc(=O)c2c(O)cc(O)cc2o1,1.790
COc1cc(ccc1O)-c1cc(=O)c2c(O)cc(O)cc2o1,1.587
COc1ccc(cc1O)-c1cc(=O)c2c(O)cc(O)cc2o1,1.773
COc1ccc(cc1O)-c1cc(=O)c2c(O)cc(O)cc2o1,2.133
OC[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@H]1O,0.7683±0.0778
OC[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@H]1O,0.5309±0.0170
OC[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@H]1O,0.5207±0.00554
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)[C@H]([C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)C(O)=O)[C@@H]12)C(O)=O,1.25
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)[C@H]([C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)C(O)=O)[C@@H]12)C(O)=O,0.87
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)[C@@H]([C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)C(O)=O)[C@@H]12)C(O)=O,1.36
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)[C@@H]([C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)C(O)=O)[C@@H]12)C(O)=O,0.28
CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(=O)C(C)(C)C5CCC34C)C2C1(C)O)C(O)=O,53.15
CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(=O)C(C)(C)C5CCC34C)C2C1(C)O)C(O)=O,19.96
CC(=C)[C@H]1CC[C@]2(CC[C@@]3(C)C(CCC4[C@]5(C)C[C@H](O)[C@@H](O)C(C)(C)C5CC[C@]34C)C12)C(O)=O,3.53
CC(=C)[C@H]1CC[C@]2(CC[C@@]3(C)C(CCC4[C@]5(C)C[C@H](O)[C@@H](O)C(C)(C)C5CC[C@]34C)C12)C(O)=O,10.25
CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O,13.50
CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O,11.96
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O,33.90
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O,70.09
