smiles,result
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)cc1)c2=O,2.19
COc1cc(ccc1O)-c1coc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)ccc2c1=O,0.65
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)c(O)c1)c2=O,1.30土0.24
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)cc1)c2=O,4.13
COc1cc(ccc1O)-c1coc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)ccc2c1=O,1.44
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)c(O)c1)c2=O,2.07
O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)C(O)=O,194.41
OC1CC(O)(CC(O)C1OC(=O)\C=C\c1ccc(O)c(O)c1)C(O)=O,89.36土45.31
OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(cc3=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O,2547.84
OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(cc3=O)-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,96.43
Oc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)cc2o1,301.81土
Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(O)c(O)c1,2079.55土307.09
CCCC[C@@H]1OC(=O)C2=CCCC[C@@H]12,1381.81
CCCC[C@@H]1OC(=O)C2=CCCC[C@@H]12,222.78
COc1ccc(C(C)=O)c(O)c1,825.86
COc1ccc(C(C)=O)c(O)c1,1588.71
COc1cc(\C=C\C(O)=O)ccc1O,0.321
CC(C)C(=C)CC[C@H]([C@H]1[C@H](O)C[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]1CC3)C(O)=O,333.4±138.8
COC[C@@]12CC[C@H](OC)[C@@]34[C@@H]5C[C@@]6(O)[C@H](OC(=O)c7ccccc7)[C@@H]5[C@@](OC(C)=O)([C@@H]([C@H](OC)[C@H]13)C4N(C)C2)[C@@H](O)[C@@H]6OC,4.751
Oc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)cc2o1,3.310
Oc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)cc2o1,4.567
Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(O)c(O)c1,1.684
Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(O)c(O)c1,2.466
COc1cc(ccc1O)-c1cc(=O)c2c(O)cc(O)cc2o1,0.0931
COc1cc(ccc1O)-c1cc(=O)c2c(O)cc(O)cc2o1,0.06404
COc1ccc(cc1O)-c1cc(=O)c2c(O)cc(O)cc2o1,0.3294
COc1ccc(cc1O)-c1cc(=O)c2c(O)cc(O)cc2o1,0.3108
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)[C@H]([C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)C(O)=O)[C@@H]12)C(O)=O,326.9
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)[C@H]([C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)C(O)=O)[C@@H]12)C(O)=O,286.5
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)[C@@H]([C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)C(O)=O)[C@@H]12)C(O)=O,169.7
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)[C@@H]([C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)C(O)=O)[C@@H]12)C(O)=O,371.9
CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(=O)C(C)(C)C5CCC34C)C2C1(C)O)C(O)=O,304.9
CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(=O)C(C)(C)C5CCC34C)C2C1(C)O)C(O)=O,495.2
CC(=C)[C@H]1CC[C@]2(CC[C@@]3(C)C(CCC4[C@]5(C)C[C@H](O)[C@@H](O)C(C)(C)C5CC[C@]34C)C12)C(O)=O,526.7
CC(=C)[C@H]1CC[C@]2(CC[C@@]3(C)C(CCC4[C@]5(C)C[C@H](O)[C@@H](O)C(C)(C)C5CC[C@]34C)C12)C(O)=O,171.0
CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O,899.5
CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O,578.7
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O,189.5
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O,69.8
CCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1,255.4
CCCCC\C=C\C(=O)CCc1ccc(O)c(OC)c1,214.4
CCCCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1,156.0
CCCCCCC\C=C\C(=O)CCc1ccc(O)c(OC)c1,46.5
CCCCCCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1,92.8
CCCCCCCCC\C=C\C(=O)CCc1ccc(O)c(OC)c1,32.5
COc1cc(CCC(C)=O)ccc1O,174.8
COc1ccc(C(C)=O)c(O)c1,825.86
COc1ccc(C(C)=O)c(O)c1,1588.71
C[C@H]1CC[C@@H]2N(C1)C[C@H]1[C@@H]3C[C@H]4[C@@H](C[C@H](O)[C@H]5C[C@@H](O)CC[C@]45C)[C@@H]3CC[C@@H]1[C@]2(C)O,68.80
C[C@H]1CCC2N(C1)C[C@H]1C3CC4[C@@H](CC(=O)C5C[C@@H](O)CC[C@]45C)C3CCC1[C@]2(C)O,43.80
