smiles,result
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)cc1)c2=O,4.49
COc1cc(ccc1O)-c1coc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)ccc2c1=O,8.98
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)c(O)c1)c2=O,1.60
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)cc1)c2=O,4.29
COc1cc(ccc1O)-c1coc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)ccc2c1=O,2.00
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)c(O)c1)c2=O,1.04
COc1ccc(C(C)=O)c(O)c1,31.69
COc1ccc(C(C)=O)c(O)c1,21.84
COc1cc(\C=C\C(O)=O)ccc1O,50.882
CC(C)C(=C)CC[C@H]([C@H]1[C@H](O)C[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]1CC3)C(O)=O,48.85±9.47
Oc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)cc2o1,2.497
Oc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)cc2o1,1.305
Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(O)c(O)c1,5.975
Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(O)c(O)c1,4.598
COc1cc(ccc1O)-c1cc(=O)c2c(O)cc(O)cc2o1,61.84
COc1cc(ccc1O)-c1cc(=O)c2c(O)cc(O)cc2o1,59.26
COc1ccc(cc1O)-c1cc(=O)c2c(O)cc(O)cc2o1,18.37
COc1ccc(cc1O)-c1cc(=O)c2c(O)cc(O)cc2o1,23.58
OC[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@H]1O,0.2479±0.150
OC[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@H]1O,0.07679±0.00970
OC[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@H]1O,0.06784±0.00480
COc1ccc(C(C)=O)c(O)c1,31.69
COc1ccc(C(C)=O)c(O)c1,21.84
