smiles,result
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)cc1)c2=O,0.30
COc1cc(ccc1O)-c1coc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)ccc2c1=O,0.99
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)c(O)c1)c2=O,0.34
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)cc1)c2=O,0.20
COc1cc(ccc1O)-c1coc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)ccc2c1=O,0.20
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)c(O)c1)c2=O,0.16
O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)C(O)=O,0.20
OC1CC(O)(CC(O)C1OC(=O)\C=C\c1ccc(O)c(O)c1)C(O)=O,6.90土3.40
OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(cc3=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O,5.01土4.44
OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(cc3=O)-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,13.87
Oc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)cc2o1,11.11
Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(O)c(O)c1,8.89土
COc1ccc(C(C)=O)c(O)c1,0.68
COc1ccc(C(C)=O)c(O)c1,1.26
CC(C)C(=C)CC[C@H]([C@H]1[C@H](O)C[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]1CC3)C(O)=O,4.96±1.33
COC[C@@]12CC[C@H](OC)[C@@]34[C@@H]5C[C@@]6(O)[C@H](OC(=O)c7ccccc7)[C@@H]5[C@@](OC(C)=O)([C@@H]([C@H](OC)[C@H]13)C4N(C)C2)[C@@H](O)[C@@H]6OC,4.633
Oc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)cc2o1,18.44
Oc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)cc2o1,10.98
Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(O)c(O)c1,2.805
Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(O)c(O)c1,6.671
COc1cc(ccc1O)-c1cc(=O)c2c(O)cc(O)cc2o1,26.24
COc1cc(ccc1O)-c1cc(=O)c2c(O)cc(O)cc2o1,29.80
COc1ccc(cc1O)-c1cc(=O)c2c(O)cc(O)cc2o1,7.359
COc1ccc(cc1O)-c1cc(=O)c2c(O)cc(O)cc2o1,7.566
OC[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@H]1O,0.2081±0.126
OC[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@H]1O,0.4958±0.0614
OC[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@H]1O,1.154±0.0688
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)[C@H]([C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)C(O)=O)[C@@H]12)C(O)=O,2.06
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)[C@H]([C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)C(O)=O)[C@@H]12)C(O)=O,4.11
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)[C@@H]([C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)C(O)=O)[C@@H]12)C(O)=O,2.45
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)[C@@H]([C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)C(O)=O)[C@@H]12)C(O)=O,7.00
CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(=O)C(C)(C)C5CCC34C)C2C1(C)O)C(O)=O,2.88
CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(=O)C(C)(C)C5CCC34C)C2C1(C)O)C(O)=O,3.87
CC(=C)[C@H]1CC[C@]2(CC[C@@]3(C)C(CCC4[C@]5(C)C[C@H](O)[C@@H](O)C(C)(C)C5CC[C@]34C)C12)C(O)=O,3.72
CC(=C)[C@H]1CC[C@]2(CC[C@@]3(C)C(CCC4[C@]5(C)C[C@H](O)[C@@H](O)C(C)(C)C5CC[C@]34C)C12)C(O)=O,4.18
CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O,2.17
CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O,3.06
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O,3.58
CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O,9.00
CCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1,2.6
CCCCC\C=C\C(=O)CCc1ccc(O)c(OC)c1,3.9
CCCCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1,2.7
CCCCCCC\C=C\C(=O)CCc1ccc(O)c(OC)c1,3.0
CCCCCCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1,2.7
CCCCCCCCC\C=C\C(=O)CCc1ccc(O)c(OC)c1,2.5
COc1cc(CCC(C)=O)ccc1O,2.2
COc1ccc(C(C)=O)c(O)c1,0.68
COc1ccc(C(C)=O)c(O)c1,1.26
C[C@H]1CC[C@@H]2N(C1)C[C@H]1[C@@H]3C[C@H]4[C@@H](C[C@H](O)[C@H]5C[C@@H](O)CC[C@]45C)[C@@H]3CC[C@@H]1[C@]2(C)O,3.012
C[C@H]1CCC2N(C1)C[C@H]1C3CC4[C@@H](CC(=O)C5C[C@@H](O)CC[C@]45C)C3CCC1[C@]2(C)O,4.453
C[C@H]1CC[C@@H]2N(C1)C[C@H]1[C@@H]3C[C@H]4[C@@H](C[C@H](O)[C@H]5C[C@@H](O)CC[C@]45C)[C@@H]3CC[C@@H]1[C@]2(C)O,2.817
C[C@H]1CCC2N(C1)C[C@H]1C3CC4[C@@H](CC(=O)C5C[C@@H](O)CC[C@]45C)C3CCC1[C@]2(C)O,2.965
